planet_name,star_name,num_of_stars,num_of_planets,discovery_method,disc_year,disc_facility,orbital_period_days,orb_semiMajorAxis,Orbit_Eccentricity,pl_radius,pl_Mass,equilibrium_temp_K,star_spectral_type,star_temp_K,star_radius,star_mass,star_mettalicity,star_surface_gravity,right_ascension_degree,declination_degree,distance_parsec,visual_magnitude,is_controversial,insolation_flux
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,323.21,1.178,0.238,12.2,4914.898486,,G8 III,4874,13.76,2.09,-0.26,2.45,185.1787793,17.7932516,93.1846,4.72307,0,
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,1.53,0.08,12.3,4684.8142,,K4 III,4213,29.79,2.78,-0.02,1.93,229.2745954,71.8239428,125.321,5.013,0,
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76,0.775,0,13.1,1131.151301,,K0 III,4888,11.55,1.78,-0.21,2.55,352.82415,39.2358367,75.4392,5.23133,0,
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1765.0389,2.774,0.373,12.6,2559.472162,,K0V,5338,0.93,0.91,0.4052,4.45,242.6021014,43.8163621,17.9323,6.61935,0,
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1.66,0.68,13.5,565.7374,,G3 V,5750,1.13,1.08,0.06,4.36,295.4656422,50.5168243,21.1397,6.215,0,
17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,578.38,1.45,0.06,12.9,1373.018718,,K3 III,4157,25.92,1.22,-0.01,1.7,243.4620874,-11.8377905,124.953,5.22606,0,
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,982.85,2.476,0.024,12.5,2926.246143,,G6 III,4980,8.8,2.1,-0.06,2.87,314.6078375,10.8391378,76.222,5.51048,0,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330,,18.647,3000,1700,K7 V,4060,1.31316,0.85,,3.99592,242.3762343,-21.0831403,139.135,12.618,0,
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33,0.194,0.032,13.9,280.6424834,,G3 IV,4816,12.19,1.05,-0.78,2.28,217.1555242,49.8446488,95.9863,5.59,0,
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,452.8,1.333,0.09,13.4,632.46,,K0 IV,5098,4.9,1.54,-0.03,3.5,155.8684866,-0.9023998,72.0691,6.4535,0,
24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,883,2.08,0.29,13.9,273.32,,K0 IV,5098,4.9,1.54,-0.03,3.5,155.8684866,-0.9023998,72.0691,6.4535,0,
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,Subaru Telescope,,118,,13,1271.313628,1450,M V,3100,0.84,0.17,0.01,4.5,69.3405531,26.8502997,128.484,16.186,0,
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,,84,,12.3,4131.79,,M5.5/M6,,,0.19,,,15.8992489,-55.2658291,47.2,15.788,0,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,,52,,11.209,7786.5,1600,M3.5 V,3530,0.36645,0.4,,4.85804,20.7128012,-24.6646128,33.8281,14.244,0,
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,,156,,16.14096,4417.837,,M6,3064,0.281,0.108,,4.59,34.8427046,-39.4230767,40.08964117,,0,
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,Imaging,2018,Mauna Kea Observatory,,1950,,12.4,3686.809521,,M6 V,2859,0.315959,0.046,,4.90849,42.4851627,-5.9599921,66.0613,18.3,0,
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,572,,12.2,5720.911326,2369,,2943,0.289776,0.264996,,4.93718,59.7911026,20.1599759,117.435,,0,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,,15,,12.6,2383.6,,M8.5,2936,0.231916,0.019,,5.01181,70.4371079,23.0308544,120.423987,,0,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,266,,11.9,8899.195396,2677,,,,,,,165.3295388,-77.5440912,,,0,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,587,,12.1,6356.56814,2506,,3021,0.600455,0.58846,,4.65082,178.7691634,-79.3197558,100.862,16.957,0,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,,55,,12.9,1589.15,1250,M8,2825,0.21887,0.024,,5.03186,181.8890906,-39.5484399,64.308,20.15,0,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,Kepler,406,0.92,0.33,13.4,603.877,,,29564,0.203,0.48,-0.092,5.508,294.6359173,46.0664076,396.332,12.651,0,
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,7493,,12.4,3813.940884,1616,,3592,0.672832,0.643977,,4.59112,321.3662989,-81.6414894,34.1154,11.804,0,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,,230,,12.3,3972.875,,K7 V,4045,0.641152,0.6,,4.62349,339.1025931,47.861683,69.5737,12.368,0,
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,0.99,0.29,12.3,4392.4106,,F6 V,6331,1.41,1.93,0.19,4.43,39.2412736,24.6480103,44.657,7.09209,0,
4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,270.27,0.877,0.453,12.6,2511.480072,,K1 III,4415,18.11,1.234,-0.25,1.8,130.0528099,64.3280504,73.4603,4.5801,0,
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1078,2.1,0.032,13.2,804.08,,G0V,5872,1.21334,1.06,0.04,4.29541,164.8647611,40.4304931,13.7967,5.03352,0,
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,2391,3.6,0.098,14.2,171.621,,G0V,5872,1.21334,1.06,0.04,4.29541,164.8647611,40.4304931,13.7967,5.03352,0,
47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,14002,11.6,0.16,13.5,521.22,,G0V,5872,1.21334,1.06,0.04,4.29541,164.8647611,40.4304931,13.7967,5.03352,0,
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,9100,10.4,0.57,,3464.329636,700,F0 IV,7295,1.48726,1.75,-0.027,4.31078,69.4007424,-2.4738245,29.7575,5.21149,0,
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.230785,0.0527,0.013,14.3,146.2018,,G5V,5758,1.17561,1.03,0.18,4.31038,344.3675399,20.7690958,15.4614,5.45309,0,
55 Cnc B b,55 Cnc B,2,7,Radial Velocity,2025,Mauna Kea Observatory,6.7994,0.044,0,1.69,3.5,,M4.5 V,3286,0.274,0.26,0.16,4.86,133.167908,28.3152863,12.4773,13.152,0,
55 Cnc B c,55 Cnc B,2,7,Radial Velocity,2025,Mauna Kea Observatory,33.747,0.13,0,2.16,5.3,,M4.5 V,3286,0.274,0.26,0.16,4.86,133.167908,28.3152863,12.4773,13.152,0,
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996,Lick Observatory,14.651552,0.118,0.0029,13.9,263.9785,700,G8 V,5198,0.98,1.015,0.39,4.3,133.1468373,28.3298154,12.5855,5.95084,0,
55 Cnc c,55 Cnc,2,7,Radial Velocity,2004,McDonald Observatory,44.3936,0.247,0.088,8.51,54.4738,,G8 V,5198,0.98,1.015,0.39,4.3,133.1468373,28.3298154,12.5855,5.95084,0,
